isin,isin_url,descrizione,cedola,ultimo,scadenza
IT0001086567,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0001086567.html,"Btp-1nv26 7,25%","3,625","109,21",01/11/2026
IT0001174611,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0001174611.html,"Btp-1nv27 6,5%","3,25","110,68",01/11/2027
IT0001278511,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0001278511.html,"Btp-1nv29 5,25%","2,625","109,98",01/11/2029
IT0001444378,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0001444378.html,Btp-1mg31 6%,"3,00","116,15",01/05/2031
IT0003256820,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0003256820.html,"Btp-1fb33 5,75%","2,875","115,89",01/02/2033
IT0003535157,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0003535157.html,Btp-1ag34 5%,"2,50","111,25",01/08/2034
IT0003745541,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0003745541.html,"Btpi-15st35 2,35%","1,175","106,63",15/09/2035
IT0003934657,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0003934657.html,Btp-1fb37 4%,"2,00","102,14",01/02/2037
IT0004286966,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0004286966.html,Btp-1ag39 5%,"2,50","111,10",01/08/2039
IT0004513641,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0004513641.html,Btp-1mz25 5%,"2,50","100,908",01/03/2025
IT0004532559,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0004532559.html,Btp-1st40 5%,"2,50","111,10",01/09/2040
IT0004545890,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0004545890.html,"Btpi-15st41 2,55%","1,275","108,80",15/09/2041
IT0004644735,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0004644735.html,"Btp-1mz26 4,5%","2,25","102,05",01/03/2026
